Region Code: OA,,,,,,,,,
Region Name: Oceania,,,,,,,,,
Country Code: AUS,,,,,,,,,
Country Name: Australia,,,,,,,,,
Export date: 6/10/2025 7:18:47 AM,,,,,,,,,
"Source location: ""WHO Mortality Database portal""",,,,,,,,,
Metadata information: ,,,,,,,,,
,,,,,,,,,
Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age40_44,[40-44],59,2.98582996,,3.60739773
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age45_49,[45-49],136,5.11855476,,8.87325919
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age50_54,[50-54],325,8.06852036,,21.32951808
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age55_59,[55-59],535,9.78419898,,39.16252227
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age60_64,[60-64],864,11.40142518,,70.5876586
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age65_69,[65-69],1217,12.29665555,,118.891544
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age70_74,[70-74],1297,10.59121346,,171.691432
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age75_79,[75-79],1307,7.95012165,,228.1351566
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age80_84,[80-84],1280,5.35363252,,287.1300677
CG0670,"Trachea, bronchus, lung cancers",2012,All,Age85_over,[85+],1100,1.92799804,,261.7383711
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age05_09,[5-9],1,0.73529412,,0.06872819
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age25_29,[25-29],2,0.24968789,,0.11596731
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age30_34,[30-34],9,0.9127789,,0.54399565
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age35_39,[35-39],17,1.3322884,,1.09527049
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age40_44,[40-44],54,2.76356192,,3.25000481
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age45_49,[45-49],131,4.66192171,,8.56196279
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age50_54,[50-54],343,8.36177474,,22.17740762
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age55_59,[55-59],555,9.93555317,,39.81994211
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age60_64,[60-64],827,10.86870811,,66.63884005
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age65_69,[65-69],1231,11.64176281,,113.8568715
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age70_74,[70-74],1363,10.94339623,,174.2975667
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age75_79,[75-79],1275,7.80484819,,216.0302951
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age80_84,[80-84],1191,5.13052468,,266.2594901
CG0670,"Trachea, bronchus, lung cancers",2013,All,Age85_over,[85+],1215,2.12278985,,277.8101699
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age00,[0],1,0.09881423,,0.32638034
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age25_29,[25-29],4,0.47225502,,0.22710704
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age30_34,[30-34],5,0.45454545,,0.29303411
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age35_39,[35-39],10,0.723589,,0.64239856
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age40_44,[40-44],51,2.43785851,,3.06318449
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age45_49,[45-49],139,4.99102334,,9.01391645
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age50_54,[50-54],340,7.90330079,,21.75974933
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age55_59,[55-59],537,9.20939804,,37.84419187
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age60_64,[60-64],848,10.65996229,,67.05608752
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age65_69,[65-69],1248,11.52886836,,111.5612496
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age70_74,[70-74],1348,10.37641444,,165.4852721
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age75_79,[75-79],1343,7.90558041,,220.6040576
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age80_84,[80-84],1169,5.03683916,,260.9048869
CG0670,"Trachea, bronchus, lung cancers",2014,All,Age85_over,[85+],1208,1.99011532,,266.299843
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age20_24,[20-24],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age25_29,[25-29],1,0.11547344,,0.0551178
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age30_34,[30-34],9,0.79295154,,0.50164847
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age35_39,[35-39],14,1.02040816,,0.87093816
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age40_44,[40-44],51,2.46376812,,3.13503519
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age45_49,[45-49],144,5.03848845,,8.97235393
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age50_54,[50-54],283,6.78006708,,18.27603398
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age55_59,[55-59],562,9.44855414,,38.0780736
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age60_64,[60-64],847,10.80494961,,64.90963613
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age65_69,[65-69],1160,10.58008026,,97.22791481
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age70_74,[70-74],1443,10.49225624,,162.0991332
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age75_79,[75-79],1408,7.99001248,,216.2162162
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age80_84,[80-84],1168,5.04187171,,256.645199
CG0670,"Trachea, bronchus, lung cancers",2016,All,Age85_over,[85+],1321,2.05801707,,273.6808521
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age00,[0],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age01_04,[1-4],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age05_09,[5-9],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age10_14,[10-14],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age15_19,[15-19],0,0,,0
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age20_24,[20-24],3,0.44247788,,0.17896782
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age25_29,[25-29],2,0.23446659,,0.11198045
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age30_34,[30-34],8,0.72332731,,0.45654517
CG0670,"Trachea, bronchus, lung cancers",2015,All,Age35_39,[35-39],27,1.89739986,,1.71651118
